card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
405,Blue Rock Thrush,bluerockthrush,405_Blue_Rock_Thrush_5_call.m4a,src/AudioClip/405_Blue_Rock_Thrush_5_call.m4a,5,call,false,,16946
406,Spotted Dove,spotteddove,406_Spotted_Dove_XC879491_1_call_main.m4a,src/AudioClip/406_Spotted_Dove_XC879491_1_call_main.m4a,1,call,true,XC879491,38445
406,Spotted Dove,spotteddove,406_Spotted_Dove_XC879491_2_call.m4a,src/AudioClip/406_Spotted_Dove_XC879491_2_call.m4a,2,call,false,XC879491,12964
407,Red Avadavat,redavadavat,407_Red_Avadavat_1_call_main.m4a,src/AudioClip/407_Red_Avadavat_1_call_main.m4a,1,call,true,,21801
407,Red Avadavat,redavadavat,407_Red_Avadavat_2_call.m4a,src/AudioClip/407_Red_Avadavat_2_call.m4a,2,call,false,,8915
407,Red Avadavat,redavadavat,407_Red_Avadavat_3_call.m4a,src/AudioClip/407_Red_Avadavat_3_call.m4a,3,call,false,,9851
408,Satyr Tragopan,satyrtragopan,408_Satyr_Tragopan_1_call_main.m4a,src/AudioClip/408_Satyr_Tragopan_1_call_main.m4a,1,call,true,,43499
408,Satyr Tragopan,satyrtragopan,408_Satyr_Tragopan_2_call.m4a,src/AudioClip/408_Satyr_Tragopan_2_call.m4a,2,call,false,,19862
409,Black Drongo,blackdrongo,409_Black_Drongo_1_call_main.m4a,src/AudioClip/409_Black_Drongo_1_call_main.m4a,1,call,true,,47499
409,Black Drongo,blackdrongo,409_Black_Drongo_2_call.m4a,src/AudioClip/409_Black_Drongo_2_call.m4a,2,call,false,,15549
409,Black Drongo,blackdrongo,409_Black_Drongo_3_call.m4a,src/AudioClip/409_Black_Drongo_3_call.m4a,3,call,false,,12282
409,Black Drongo,blackdrongo,409_Black_Drongo_4_call.m4a,src/AudioClip/409_Black_Drongo_4_call.m4a,4,call,false,,12436
40,Annas Hummingbird,annashummingbird,40_Annas_Hummingbird_121985_1_song.m4a,src/AudioClip/40_Annas_Hummingbird_121985_1_song.m4a,1,song,false,121985,16182
40,Annas Hummingbird,annashummingbird,40_Annas_Hummingbird_121985_2_call.m4a,src/AudioClip/40_Annas_Hummingbird_121985_2_call.m4a,2,call,false,121985,5396
40,Annas Hummingbird,annashummingbird,40_Annas_Hummingbird_121985_3_call.m4a,src/AudioClip/40_Annas_Hummingbird_121985_3_call.m4a,3,call,false,121985,8572
40,Annas Hummingbird,annashummingbird,40_Annas_Hummingbird_121985_4_call_main.m4a,src/AudioClip/40_Annas_Hummingbird_121985_4_call_main.m4a,4,call,true,121985,55499
410,Red Wattled Lapwing,redwattledlapwing,410_Red_Wattled_Lapwing_1_call_main.m4a,src/AudioClip/410_Red_Wattled_Lapwing_1_call_main.m4a,1,call,true,,48220
410,Red Wattled Lapwing,redwattledlapwing,410_Red_Wattled_Lapwing_2_call.m4a,src/AudioClip/410_Red_Wattled_Lapwing_2_call.m4a,2,call,false,,13272
410,Red Wattled Lapwing,redwattledlapwing,410_Red_Wattled_Lapwing_5_call.m4a,src/AudioClip/410_Red_Wattled_Lapwing_5_call.m4a,5,call,false,,17559
410,Red Wattled Lapwing,redwattledlapwing,410_Red_Wattled_Lapwing_6_call.m4a,src/AudioClip/410_Red_Wattled_Lapwing_6_call.m4a,6,call,false,,16845
411,Violet Cuckoo,violetcuckoo,411_Violet_Cuckoo_XC422083_2_call.m4a,src/AudioClip/411_Violet_Cuckoo_XC422083_2_call.m4a,2,call,false,XC422083,18714
411,Violet Cuckoo,violetcuckoo,411_Violet_Cuckoo_XC740458_1_call_main.m4a,src/AudioClip/411_Violet_Cuckoo_XC740458_1_call_main.m4a,1,call,true,XC740458,27900
